"gisjoin","year","state","county","statefips","countyfips","year.new","owner_occupied_1_01_to_1_50_occupants_per_room","owner_occupied_1_51_to_2_00_occupants_per_room","owner_occupied_2_01_or_more_occupants_per_room","renter_occupied_1_01_to_1_50_occupants_per_room","renter_occupied_1_51_to_2_00_occupants_per_room","renter_occupied_2_01_or_more_occupants_per_room","built_1939_or_earlier","median_gross_rent","X35_to_64_years_with_one_type_of_health_insurance_coverage_with_medicare_coverage_only","X35_to_64_years_with_one_type_of_health_insurance_coverage_with_medicaid_means_tested_public_coverage_only","X35_to_64_years_with_one_type_of_health_insurance_coverage_with_va_health_care_only","X35_to_64_years_with_two_or_more_types_of_health_insurance_coverage_with_medicare_and_medicaid_means_tested_public_coverage","X35_to_64_years_with_two_or_more_types_of_health_insurance_coverage_other_public_only_combinations","X35_to_64_years_no_health_insurance_coverage","X65_years_and_over_with_one_type_of_health_insurance_coverage_with_medicare_coverage_only","X65_years_and_over_with_one_type_of_health_insurance_coverage_with_va_health_care_only","X65_years_and_over_with_two_or_more_types_of_health_insurance_coverage_with_medicare_and_medicaid_means_tested_public_coverage","X65_years_and_over_with_two_or_more_types_of_health_insurance_coverage_other_public_only_combinations","X65_years_and_over_no_health_insurance_coverage","male_35_to_64_years_with_a_disability","male_65_to_74_years_with_a_disability","female_35_to_64_years_with_a_disability","female_65_to_74_years_with_a_disability"
"g0100010",2013,"alabama","autauga county",1,1,2013,169,4,0,212,46,0,577,"851",425,712,116,493,57,2767,1496,0,429,186,7,1923,506,2009,757
"g0100030",2013,"alabama","baldwin county",1,3,2013,397,84,30,631,146,98,2753,"876",1211,1959,508,891,294,13005,8568,0,873,656,134,5113,2756,5421,2247
"g0100050",2013,"alabama","barbour county",1,5,2013,58,52,13,31,29,0,1081,"587",356,830,53,293,36,1772,817,0,480,51,58,1142,387,1025,440
"g0100070",2013,"alabama","bibb county",1,7,2013,21,0,0,9,0,0,690,"568",529,489,9,499,1,1477,972,0,416,73,23,1026,238,857,271
"g0100090",2013,"alabama","blount county",1,9,2013,145,48,14,97,0,8,1122,"600",504,1090,208,611,141,3175,2540,0,753,170,88,2394,877,2158,879
"g0100110",2013,"alabama","bullock county",1,11,2013,4,0,127,3,0,0,460,"492",78,587,85,113,10,1139,349,16,233,76,0,457,110,370,183
"g0100130",2013,"alabama","butler county",1,13,2013,31,6,0,29,0,7,943,"560",535,547,19,374,9,1389,890,10,466,91,6,905,331,1108,298
"g0100150",2013,"alabama","calhoun county",1,15,2013,120,52,3,273,70,0,3399,"615",1469,2835,383,1666,285,7435,3094,0,1080,265,186,4988,1916,5347,1921
"g0100170",2013,"alabama","chambers county",1,17,2013,78,1,0,118,97,171,2234,"635",724,1036,147,529,34,2881,1338,0,856,125,0,1654,578,1707,601
"g0100190",2013,"alabama","cherokee county",1,19,2013,39,87,0,105,0,5,923,"609",550,648,45,333,72,2036,1009,0,300,66,9,1359,494,1438,477
"g0100210",2013,"alabama","chilton county",1,21,2013,259,71,43,164,63,4,886,"626",728,850,178,371,40,3053,1731,11,615,107,0,1799,607,1634,725
"g0100230",2013,"alabama","choctaw county",1,23,2013,42,13,0,42,0,0,485,"593",379,446,48,300,10,987,696,0,344,71,0,791,281,805,362
"g0100250",2013,"alabama","clarke county",1,25,2013,40,49,0,142,9,7,980,"479",362,715,31,560,31,2167,1035,0,548,128,21,848,305,971,419
"g0100270",2013,"alabama","clay county",1,27,2013,17,6,0,21,18,79,742,"424",292,352,46,200,0,940,454,0,187,34,0,631,289,710,171
"g0100290",2013,"alabama","cleburne county",1,29,2013,58,0,0,64,18,159,536,"574",207,237,33,258,6,1373,693,0,322,32,0,640,261,699,231
"g0100310",2013,"alabama","coffee county",1,31,2013,114,23,2,51,27,13,802,"647",434,886,119,479,79,2948,1437,0,490,208,107,1874,780,1662,757
"g0100330",2013,"alabama","colbert county",1,33,2013,85,37,21,146,70,0,1870,"617",831,1017,135,590,49,3419,1762,0,785,172,17,1958,791,2679,955
"g0100350",2013,"alabama","conecuh county",1,35,2013,7,0,0,44,0,0,962,"525",311,258,14,367,32,1160,1062,13,250,44,0,768,309,648,326
"g0100370",2013,"alabama","coosa county",1,37,2013,26,23,0,29,0,0,510,"574",197,322,51,99,24,819,311,0,169,6,0,463,242,606,191
"g0100390",2013,"alabama","covington county",1,39,2013,132,35,11,107,29,0,1674,"579",695,771,134,411,12,2999,1933,0,703,127,7,1774,604,1831,830
"g0100410",2013,"alabama","crenshaw county",1,41,2013,35,0,2,52,2,0,602,"505",239,304,38,230,53,928,491,0,269,47,0,517,229,628,302
"g0100430",2013,"alabama","cullman county",1,43,2013,138,35,15,247,60,11,2367,"605",734,1246,110,805,164,6209,3089,0,1108,214,18,3297,1195,3011,1190
"g0100450",2013,"alabama","dale county",1,45,2013,90,0,33,116,12,9,1194,"616",520,690,133,558,47,3268,1054,0,481,101,58,1903,847,2342,886
"g0100470",2013,"alabama","dallas county",1,47,2013,175,24,21,236,206,464,1603,"537",491,2298,157,983,64,3044,1405,0,1025,97,0,1975,397,2333,840
"g0100490",2013,"alabama","dekalb county",1,49,2013,379,112,72,84,122,123,1476,"518",986,1055,177,1184,139,5204,2570,11,1470,178,21,2326,908,2930,877
"g0100510",2013,"alabama","elmore county",1,51,2013,157,117,0,159,30,0,1428,"774",505,802,98,443,46,3359,1719,8,476,47,13,2315,838,2625,822
"g0100530",2013,"alabama","escambia county",1,53,2013,24,5,2,80,6,12,828,"582",836,893,134,469,76,3308,1413,0,652,98,11,1695,530,1655,797
