"year","no_cnip","total_persons","fips_county_code","fips_state_code","housing_units_total","no_vacant","no_poverty","no_white","no_black","no_native","no_asian","no_hispanic","no_unemployed"
"2013",26418,50722,"001","01",22220,2149,6615,42997,10076,138,941,1365,2481
"2013",90296,172285,"003","01",104648,31365,25752,161737,17733,1157,3790,8322,8327
"2013",10903,25266,"005","01",11790,2590,6512,12960,12675,55,1142,1339,1559
"2013",9138,21163,"007","01",8939,1848,3898,17461,4937,105,33,443,1116
"2013",25498,53108,"009","01",23767,2659,9023,54890,818,197,739,4800,2483
"2013",4794,9869,"011","01",4468,727,2211,3001,7614,4,38,611,718
"2013",8929,18921,"013","01",9931,1696,5776,11300,9024,24,148,220,1323
"2013",53199,108861,"015","01",53192,7996,25105,88358,24385,314,2572,3953,7555
"2013",15458,31404,"017","01",16928,3206,8114,19881,13737,30,224,174,2656
"2013",11417,24241,"019","01",16180,4524,5415,24216,1257,126,115,357,1200
"2013",19864,40250,"021","01",19195,2963,8443,37447,4358,152,1357,3356,2040
"2013",5487,12597,"023","01",7244,1726,2904,7621,5888,0,8,39,774
"2013",10484,23506,"025","01",12584,2953,7416,13798,11336,137,137,118,1979
"2013",5893,12664,"027","01",6748,1099,2540,11240,2090,12,140,415,761
"2013",6529,13793,"029","01",6685,1084,2728,14143,530,34,72,320,730
"2013",21237,46251,"031","01",22486,3666,9238,38896,8563,419,1052,3217,1641
"2013",23830,50265,"033","01",25822,3562,9651,43672,8853,323,741,1201,2360
"2013",5055,11966,"035","01",7069,2075,4264,6836,5856,68,8,191,1253
"2013",4867,10479,"037","01",6453,1947,2280,7587,3424,8,10,229,862
"2013",16765,34727,"039","01",18767,3726,7446,31992,4799,201,367,544,1837
"2013",6276,12802,"041","01",6698,1097,2621,10131,3172,62,267,231,598
"2013",36592,74218,"043","01",36941,5599,14903,77157,917,304,1073,3451,3549
"2013",21659,45806,"045","01",22693,3348,8448,37616,9690,194,1109,2845,2253
"2013",17415,39333,"047","01",20174,4001,15143,12600,29630,42,269,340,3484
"2013",30903,65409,"049","01",30969,6046,13966,64749,1293,944,2200,9790,3513
"2013",37405,73974,"051","01",32683,4359,9930,60425,16365,296,1558,2152,3344
"2013",14666,34988,"053","01",16432,2751,9087,23832,12370,1337,237,756,2320
"2013",44525,95990,"055","01",47419,7202,19507,85307,15862,430,1196,3604,5236
"2013",6805,15842,"057","01",8393,1437,3349,14813,1952,36,34,229,664
"2013",14054,28960,"059","01",13990,1553,6848,27962,1485,194,1774,4766,1406
"2013",11919,24736,"061","01",12639,1694,5591,23304,2554,32,449,923,1124
"2013",3492,8241,"063","01",4985,1721,2923,1583,7217,39,15,47,840
"2013",6518,14379,"065","01",7642,1673,4065,6207,9219,42,87,52,1056
"2013",7678,15988,"067","01",8885,1884,2452,11992,4741,0,480,408,929
"2013",48151,93968,"069","01",45486,6236,18238,71505,26349,327,2199,3146,3957
"2013",23655,49543,"071","01",24709,3944,8397,48888,1732,993,475,1371,2409
"2013",324642,602275,"073","01",301587,41953,115966,350375,278565,1276,22227,25048,33484
"2013",6209,13348,"075","01",7337,1253,3170,12564,1687,33,9,190,626
"2013",43218,85750,"077","01",43845,5387,15594,80627,9353,420,1149,2135,3957
"2013",14879,31557,"079","01",15164,1782,5923,26379,3726,1895,220,633,1895
"2013",71855,134256,"081","01",63295,7431,30605,102363,33267,378,6238,5076,6790
"2013",39796,78827,"083","01",34959,3165,11933,69430,10872,440,2996,4785,3630
"2013",4294,10228,"085","01",5114,902,2937,2839,8201,0,17,82,751
"2013",9274,19298,"087","01",10224,2117,5066,3407,16882,187,129,295,1687
"2013",177987,313880,"089","01",148684,15709,42565,234776,81606,2204,11622,15561,17856
"2013",8388,19034,"091","01",10215,1751,4913,9629,10765,13,175,389,893
"2013",13115,28223,"093","01",14698,1998,6196,28766,1253,25,147,683,1556
"2013",42278,85440,"095","01",40225,5975,18046,87150,1469,780,2574,11594,4328
"2013",192664,378577,"097","01",179154,23976,79994,250269,143681,3187,9854,10221,22986
"2013",8933,20879,"099","01",11288,2955,6452,12572,9522,211,219,233,1686
"2013",108727,209682,"101","01",102137,13293,46855,91811,126372,637,7031,7971,9656
"2013",58867,110234,"103","01",51193,5001,18564,99090,14305,989,2736,9151,6962
"2013",3485,9391,"105","01",4708,1308,2469,3142,7097,0,46,67,692
"2013",7963,17979,"107","01",9438,1512,5213,11149,8063,7,27,349,1302
"2013",16156,30736,"109","01",15350,2391,8563,19429,12010,256,685,754,1725
"2013",9600,21018,"111","01",11910,2897,5437,17527,4643,80,238,667,1160
"2013",25027,50545,"113","01",25385,4243,12076,29925,23219,97,1175,2359,2979
"2013",105044,183399,"117","01",81458,7314,15538,163385,22153,572,10117,11678,6842
"2013",39632,78058,"115","01",35469,4116,12527,74696,7688,347,1024,1816,4266
"2013",5943,12549,"119","01",6761,1701,4958,3361,9912,51,195,112,1046
"2013",36220,75809,"121","01",37042,5556,17989,53548,26208,294,691,1698,5460
"2013",18530,38254,"123","01",22041,5668,8071,29333,11415,113,233,1030,2108
"2013",94081,182211,"125","01",85488,17606,35293,131877,59287,324,3680,6133,7623
"2013",28237,61624,"127","01",30716,4965,13688,60778,3644,183,629,1404,4084
"2013",7535,16200,"129","01",8363,1743,3132,11333,4211,1354,256,185,1538
"2013",3538,10650,"131","01",5621,1755,4400,3112,8402,0,5,18,959
"2013",10202,22712,"133","01",13393,3904,5699,23442,173,149,114,652,1066
"2013",2658,3079,"013","02",629,194,523,720,383,671,1272,424,46
"2013",4002,5329,"016","02",1944,911,488,1826,362,781,2187,591,160
"2013",160480,271177,"020","02",113278,8070,22874,195521,17339,20361,35201,23573,11785
"2013",7432,15410,"050","02",5910,1552,3880,2001,97,14176,232,238,1383
"2013",524,874,"060","02",953,569,73,521,1,287,17,51,24
"2013",1174,1871,"068","02",1686,970,219,1820,13,84,71,53,27
"2013",2118,4410,"070","02",2422,1083,886,896,18,3420,108,114,341
"2013",49876,90019,"090","02",41610,6022,7992,76665,4577,6524,3819,6492,3956
"2013",1472,2425,"100","02",1676,431,196,2057,10,209,27,22,122
"2013",1183,2011,"105","02",1709,779,318,1041,9,785,48,49,165
