"coc.number.new","year","beds_current","beds_new","beds_dev","beds_facility","beds_other","beds_voucher","beds_es","beds_th","beds_rrh","beds_sh","beds_psh","beds_total","d.sample.bos.statewide","d.sample.esg.2013.2019","d.sample.coc.2013.2019","d.sample.suburban","d.sample.rural","d.sample.urban","d.sample.majorcity","d.sample.merged"
"ak-500",2014,1670,84,0,728,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ak-500",2015,1608,116,0,706,11,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ak-500",2016,1774,0,0,714,20,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ak-500",2017,1646,178,0,687,17,9,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ak-500",2018,1429,475,0,715,7,103,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"ak-501",2014,990,85,8,568,35,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"ak-501",2015,1106,76,26,596,35,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"ak-501",2016,1113,14,19,542,39,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"ak-501",2017,1256,0,0,535,25,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"ak-501",2018,1094,380,0,689,88,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"al-500",2014,2784,65,0,440,14,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"al-500",2015,3163,231,0,426,14,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"al-500",2016,3070,37,0,494,14,20,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"al-500",2017,3152,29,0,593,14,47,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"al-500",2018,2884,26,0,564,14,31,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"al-501",2014,785,21,0,404,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"al-501",2015,816,10,119,418,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"al-501",2016,1299,191,25,408,14,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"al-501",2017,798,33,0,285,23,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"al-501",2018,704,14,0,288,30,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
