"coc.number.new","year","beds_current","beds_new","beds_dev","beds_facility","beds_other","beds_voucher","beds_es","beds_th","beds_rrh","beds_sh","beds_psh","beds_total","d.sample.bos.statewide","d.sample.esg.2013.2019","d.sample.coc.2013.2019","d.sample.suburban","d.sample.rural","d.sample.urban","d.sample.majorcity","d.sample.merged"
"ak-501",2013,0,0,0,0,0,0,630,250,0,0,188,1068,1,0,1,0,1,0,0,0
"ak-501",2014,0,0,0,0,0,0,583,243,19,0,210,1055,1,0,1,0,1,0,0,0
"ak-501",2015,0,0,0,0,0,0,581,260,7,0,284,1132,1,0,1,0,1,0,0,0
"ak-501",2016,0,0,0,0,0,0,542,277,17,0,219,1088,1,0,1,0,1,0,0,0
"ak-501",2017,0,0,0,0,0,0,533,272,23,0,368,1226,1,0,1,0,1,0,0,0
"ak-501",2018,0,0,0,0,0,0,649,263,90,0,344,1346,1,0,1,0,1,0,0,0
"ak-501",2019,0,0,0,0,0,0,575,270,67,0,386,1298,1,0,1,0,1,0,0,0
"al-500",2013,0,0,0,0,0,0,354,834,0,34,1361,2583,0,1,1,1,0,0,0,0
"al-500",2014,0,0,0,0,0,0,400,631,0,34,1729,2794,0,1,1,1,0,0,0,0
"al-500",2015,0,0,0,0,0,0,406,614,585,34,1686,3359,0,1,1,1,0,0,0,0
"al-500",2016,0,0,0,0,0,0,493,586,374,34,1492,3072,0,1,1,1,0,0,0,0
"al-500",2017,0,0,0,0,0,0,595,357,525,34,1542,3146,0,1,1,1,0,0,0,0
"al-500",2018,0,0,0,0,0,0,569,308,191,34,1768,2870,0,1,1,1,0,0,0,0
"al-500",2019,0,0,0,0,0,0,516,277,106,34,1740,2673,0,1,1,1,0,0,0,0
"al-501",2013,0,0,0,0,0,0,251,130,5,0,217,603,0,1,1,0,0,1,0,0
"al-501",2014,0,0,0,0,0,0,344,193,10,0,199,746,0,1,1,0,0,1,0,0
"al-501",2015,0,0,0,0,0,0,359,125,75,0,208,767,0,1,1,0,0,1,0,0
"al-501",2016,0,0,0,0,0,0,354,122,467,0,504,1447,0,1,1,0,0,1,0,0
"al-501",2017,0,0,0,0,0,0,304,222,54,0,247,827,0,1,1,0,0,1,0,0
"al-501",2018,0,0,0,0,0,0,298,137,60,0,203,698,0,1,1,0,0,1,0,0
"al-501",2019,0,0,0,0,0,0,261,133,31,0,240,665,0,1,1,0,0,1,0,0
"al-502",2013,0,0,0,0,0,0,67,191,0,0,68,326,0,0,1,0,1,0,0,0
"al-502",2014,0,0,0,0,0,0,82,184,0,0,50,316,0,0,1,0,1,0,0,0
"al-502",2015,0,0,0,0,0,0,70,194,0,0,58,322,0,0,1,0,1,0,0,0
"al-502",2016,0,0,0,0,0,0,41,196,0,0,36,293,0,0,1,0,1,0,0,0
"al-502",2017,0,0,0,0,0,0,41,196,0,0,36,293,0,0,1,0,1,0,0,0
"al-502",2018,0,0,0,0,0,0,102,108,0,0,50,260,0,0,1,0,1,0,0,0
"al-502",2019,0,0,0,0,0,0,106,83,0,0,42,239,0,0,1,0,1,0,0,0
"al-503",2013,0,0,0,0,0,0,442,117,0,0,178,737,0,0,1,0,0,1,0,0
"al-503",2014,0,0,0,0,0,0,445,89,0,0,211,745,0,0,1,0,0,1,0,0
"al-503",2015,0,0,0,0,0,0,498,34,49,0,241,822,0,0,1,0,0,1,0,0
"al-503",2016,0,0,0,0,0,0,432,34,39,0,278,783,0,0,1,0,0,1,0,0
"al-503",2017,0,0,0,0,0,0,457,30,0,0,302,789,0,0,1,0,0,1,0,0
"al-503",2018,0,0,0,0,0,0,504,27,3,0,309,843,0,0,1,0,0,1,0,0
"al-503",2019,0,0,0,0,0,0,517,34,32,0,298,881,0,0,1,0,0,1,0,0
"al-504",2013,0,0,0,0,0,0,151,307,0,0,348,806,0,1,1,0,0,1,0,0
"al-504",2014,0,0,0,0,0,0,120,343,43,0,429,935,0,1,1,0,0,1,0,0
"al-504",2015,0,0,0,0,0,0,153,261,11,0,471,918,0,1,1,0,0,1,0,0
"al-504",2016,0,0,0,0,0,0,258,164,47,0,514,983,0,1,1,0,0,1,0,0
"al-504",2017,0,0,0,0,0,0,247,146,58,0,486,937,0,1,1,0,0,1,0,0
"al-504",2018,0,0,0,0,0,0,213,147,55,0,464,879,0,1,1,0,0,1,0,0
"al-504",2019,0,0,0,0,0,0,226,130,39,0,465,860,0,1,1,0,0,1,0,0
"al-506",2013,0,0,0,0,0,0,28,126,0,0,160,314,0,0,1,0,0,1,0,0
"al-506",2014,0,0,0,0,0,0,16,139,0,0,188,343,0,0,1,0,0,1,0,0
"al-506",2015,0,0,0,0,0,0,16,182,0,0,258,456,0,0,1,0,0,1,0,0
"al-506",2016,0,0,0,0,0,0,16,82,0,0,290,388,0,0,1,0,0,1,0,0
"al-506",2017,0,0,0,0,0,0,91,82,0,3,294,470,0,0,1,0,0,1,0,0
"al-506",2018,0,0,0,0,0,0,91,36,0,0,294,421,0,0,1,0,0,1,0,0
"al-506",2019,0,0,0,0,0,0,91,8,0,0,294,393,0,0,1,0,0,1,0,0
"al-507",2013,0,0,0,0,0,0,392,262,0,0,56,710,1,0,1,0,1,0,0,0
"al-507",2014,0,0,0,0,0,0,309,245,0,0,73,627,1,0,1,0,1,0,0,0
"al-507",2015,0,0,0,0,0,0,277,292,0,0,57,780,1,0,1,0,1,0,0,0
"al-507",2016,0,0,0,0,0,0,206,293,0,0,280,779,1,0,1,0,1,0,0,0
"al-507",2017,0,0,0,0,0,0,192,269,0,0,245,706,1,0,1,0,1,0,0,0
"al-507",2018,0,0,0,0,0,0,188,273,0,0,221,682,1,0,1,0,1,0,0,0
"al-507",2019,0,0,0,0,0,0,122,48,0,0,77,247,1,0,1,0,1,0,0,0
"ar-500",2013,0,0,0,0,0,0,428,383,59,0,761,1631,0,0,1,0,0,1,0,0
"ar-500",2014,0,0,0,0,0,0,404,387,83,0,765,1661,0,0,1,0,0,1,0,0
"ar-500",2015,0,0,0,0,0,0,464,341,50,0,555,1738,0,0,1,0,0,1,0,0
