"coc.number.new","year","d.sh.only.count","ov.chronic.homeless","ov.chronic.homeless.indiv","ov.chronic.homeless.fam","ov.homeless","ov.homeless.18.24","ov.homeless.o24","ov.homeless.u18","ov.homeless.fam.hh","ov.homeless.indiv","ov.homeless.indiv.18.24","ov.homeless.indiv.o24","ov.homeless.indiv.u18","ov.homeless.fam","ov.homeless.fam.18.24","ov.homeless.fam.o24","ov.homeless.fam.u18","ov.homeless.vets","ov.homeless.vets.f","sh.es.chronic.homeless","sh.es.chronic.homeless.indiv","sh.es.chronic.homeless.fam","sh.es.homeless","sh.es.homeless.18.24","sh.es.homeless.o24","sh.es.homeless.u18","sh.es.homeless.fam.hh","sh.es.homeless.indiv","sh.es.homeless.indiv.18.24","sh.es.homeless.indiv.o24","sh.es.homeless.indiv.u18","sh.es.homeless.fam","sh.es.homeless.fam.18.24","sh.es.homeless.fam.o24","sh.es.homeless.fam.u18","sh.sh.chronic.homeless","sh.sh.chronic.homeless.indiv","sh.sh.homeless","sh.sh.homeless.18.24","sh.sh.homeless.o24","sh.sh.homeless.indiv","sh.sh.homeless.indiv.18.24","sh.sh.homeless.indiv.o24","sh.th.homeless","sh.th.homeless.18.24","sh.th.homeless.o24","sh.th.homeless.u18","sh.th.homeless.fam.hh","sh.th.homeless.indiv","sh.th.homeless.indiv.18.24","sh.th.homeless.indiv.o24","sh.th.homeless.indiv.u18","sh.th.homeless.fam","sh.th.homeless.fam.18.24","sh.th.homeless.fam.o24","sh.th.homeless.fam.u18","sh.tot.chronic.homeless","sh.tot.chronic.homeless.indiv","sh.tot.chronic.homeless.fam","sh.tot.homeless","sh.tot.homeless.18.24","sh.tot.homeless.o24","sh.tot.homeless.u18","sh.tot.homeless.fam.hh","sh.tot.homeless.indiv","sh.tot.homeless.indiv.18.24","sh.tot.homeless.indiv.o24","sh.tot.homeless.indiv.u18","sh.tot.homeless.fam","sh.tot.homeless.fam.18.24","sh.tot.homeless.fam.o24","sh.tot.homeless.fam.u18","sh.tot.homeless.vets","sh.tot.homeless.vets.f","us.chronic.homeless","us.chronic.homeless.indiv","us.chronic.homeless.fam","us.homeless","us.homeless.18.24","us.homeless.o24","us.homeless.u18","us.homeless.fam.hh","us.homeless.indiv","us.homeless.indiv.18.24","us.homeless.indiv.o24","us.homeless.indiv.u18","us.homeless.fam","us.homeless.fam.18.24","us.homeless.fam.o24","us.homeless.fam.u18","us.homeless.vets","us.homeless.vets.f","d.sample.bos.statewide","d.sample.esg.2013.2019","d.sample.coc.2013.2019","d.sample.suburban","d.sample.rural","d.sample.urban","d.sample.majorcity","d.sample.merged"
"ak-500",2013,0,89,83,6,1122,104,853,165,87,844,79,763,2,278,25,90,163,144,4,68,62,6,676,54,543,79,38,553,47,504,2,123,7,39,77,0,0,0,0,0,0,0,0,394,49,259,86,49,239,31,208,0,155,18,51,86,68,62,6,1070,103,802,165,87,792,78,712,2,278,25,90,163,138,4,21,21,0,52,1,51,0,0,52,1,51,0,0,0,0,0,6,0,0,1,1,0,0,1,0,0
"ak-500",2014,0,101,94,7,1023,146,689,188,102,736,133,590,13,287,13,99,175,138,7,59,56,3,665,88,491,86,52,530,76,445,9,135,12,46,77,0,0,0,0,0,0,0,0,305,38,168,99,48,158,37,118,3,147,1,50,96,59,56,3,970,126,659,185,100,688,113,563,12,282,13,96,173,120,7,42,38,4,53,20,30,3,2,48,20,27,1,5,0,3,2,18,0,0,1,1,0,0,1,0,0
"ak-500",2015,0,127,106,21,1208,128,822,258,101,837,101,720,16,371,27,102,242,130,8,27,27,0,694,61,477,156,48,486,49,430,7,208,12,47,149,0,0,0,0,0,0,0,0,335,43,203,89,46,193,32,156,5,142,11,47,84,27,27,0,1029,104,680,245,94,679,81,586,12,350,23,94,233,108,8,100,79,21,179,24,142,13,7,158,20,134,4,21,4,8,9,22,0,0,1,1,0,0,1,0,0
"ak-500",2016,0,50,48,2,1105,100,881,124,69,905,91,811,3,200,9,70,121,89,7,48,46,2,573,58,451,64,35,470,54,413,3,103,4,38,61,0,0,0,0,0,0,0,0,292,32,200,60,34,195,27,168,0,97,5,32,60,48,46,2,865,90,651,124,69,665,81,581,3,200,9,70,121,60,6,2,2,0,240,10,230,0,0,240,10,230,0,0,0,0,0,29,1,0,1,1,0,0,1,0,0
"ak-500",2017,0,116,114,2,1128,133,825,170,87,848,107,733,8,280,26,92,162,69,5,72,70,2,654,74,512,68,34,548,64,476,8,106,10,36,60,0,0,0,0,0,0,0,0,319,45,172,102,53,145,29,116,0,174,16,56,102,72,70,2,973,119,684,170,87,693,93,592,8,280,26,92,162,57,5,44,44,0,155,14,141,0,0,155,14,141,0,0,0,0,0,12,0,0,1,1,0,0,1,0,0
"ak-500",2018,0,177,163,14,1094,116,809,169,87,814,92,715,7,280,24,94,162,62,5,150,136,14,751,59,603,89,39,618,50,563,5,133,9,40,84,0,0,0,0,0,0,0,0,249,54,115,80,48,102,39,61,2,147,15,54,78,150,136,14,1000,113,718,169,87,720,89,624,7,280,24,94,162,58,5,27,27,0,94,3,91,0,0,94,3,91,0,0,0,0,0,4,0,0,1,1,0,0,1,0,0
"ak-500",2019,0,91,79,12,1111,132,786,193,89,799,104,692,3,312,28,94,190,47,1,73,61,12,802,75,613,114,49,632,66,563,3,170,9,50,111,0,0,0,0,0,0,0,0,212,56,77,79,40,70,37,33,0,142,19,44,79,73,61,12,1014,131,690,193,89,702,103,596,3,312,28,94,190,37,0,18,18,0,97,1,96,0,0,97,1,96,0,0,0,0,0,10,1,0,1,1,0,0,1,0,0
"ak-501",2013,0,95,83,12,824,85,535,204,109,518,71,431,16,306,14,104,188,66,5,70,62,8,461,49,296,116,67,282,40,234,8,179,9,62,108,0,0,0,0,0,0,0,0,210,21,137,52,28,134,19,111,4,76,2,26,48,70,62,8,671,70,433,168,95,416,59,345,12,255,11,88,156,50,4,25,21,4,153,15,102,36,14,102,12,86,4,51,3,16,32,16,1,1,0,1,0,1,0,0,0
"ak-501",2014,0,105,88,17,761,56,496,209,91,473,48,420,5,288,8,76,204,40,0,78,63,15,474,30,325,119,56,318,25,288,5,156,5,37,114,0,0,0,0,0,0,0,0,195,21,113,61,23,103,18,85,0,92,3,28,61,78,63,15,669,51,438,180,79,421,43,373,5,248,8,65,175,40,0,27,25,2,92,5,58,29,12,52,5,47,0,40,0,11,29,0,0,1,0,1,0,1,0,0,0
"ak-501",2015,0,95,76,19,748,69,526,153,79,505,54,443,8,243,15,83,145,50,4,54,43,11,433,40,306,87,46,306,34,266,6,127,6,40,81,0,0,0,0,0,0,0,0,177,19,116,42,23,99,14,85,0,78,5,31,42,54,43,11,610,59,422,129,69,405,48,351,6,205,11,71,123,41,4,41,33,8,138,10,104,24,10,100,6,92,2,38,4,12,22,9,0,1,0,1,0,1,0,0,0
