"year","county","countyfips","built_1939_or_earlier","median_gross_rent","no_cnip","total_persons","housing_units_total","no_vacant","no_poverty","no_white","no_black","no_native","no_asian","no_hispanic","no_unemployed","no_overcrowded","no_disability","no_healthins_none","no_healthins_public_only","fips","state","coc.number","coc.name","n.counties.in.coc","d.mult.county.mult.coc","county.coc.type","statefips"
2013,"autauga county",1,577,"851",26418,50722,22220,2149,6615,42997,10076,138,941,1365,2481,431,5195,2774,3914,1001,"al","al-504","montgomery city & county coc",5,0,2,1
2013,"baldwin county",3,2753,"876",90296,172285,104648,31365,25752,161737,17733,1157,3790,8322,8327,1386,15537,13139,14960,1003,"al","al-501","mobile city & county/baldwin county coc",2,0,2,1
2013,"barbour county",5,1081,"587",10903,25266,11790,2590,6512,12960,12675,55,1142,1339,1559,183,2994,1830,2916,1005,"al","al-507","alabama balance of state coc",45,0,2,1
2013,"bibb county",7,690,"568",9138,21163,8939,1848,3898,17461,4937,105,33,443,1116,30,2392,1500,2988,1007,"al","al-507","alabama balance of state coc",45,0,2,1
2013,"blount county",9,1122,"600",25498,53108,23767,2659,9023,54890,818,197,739,4800,2483,312,6308,3263,6017,1009,"al","al-507","alabama balance of state coc",45,0,2,1
2013,"bullock county",11,460,"492",4794,9869,4468,727,2211,3001,7614,4,38,611,718,134,1120,1139,1547,1011,"al","al-504","montgomery city & county coc",5,0,2,1
2013,"butler county",13,943,"560",8929,18921,9931,1696,5776,11300,9024,24,148,220,1323,73,2642,1395,2941,1013,"al","al-507","alabama balance of state coc",45,0,2,1
2013,"calhoun county",15,3399,"615",53199,108861,53192,7996,25105,88358,24385,314,2572,3953,7555,518,14172,7621,11077,1015,"al","al-507","alabama balance of state coc",45,0,2,1
2013,"chambers county",17,2234,"635",15458,31404,16928,3206,8114,19881,13737,30,224,174,2656,465,4540,2881,4789,1017,"al","al-507","alabama balance of state coc",45,0,2,1
2013,"chilton county",21,886,"626",19864,40250,19195,2963,8443,37447,4358,152,1357,3356,2040,604,4765,3053,4631,1021,"al","al-507","alabama balance of state coc",45,0,2,1
2013,"choctaw county",23,485,"593",5487,12597,7244,1726,2904,7621,5888,0,8,39,774,97,2239,987,2294,1023,"al","al-507","alabama balance of state coc",45,0,2,1
2013,"clarke county",25,980,"479",10484,23506,12584,2953,7416,13798,11336,137,137,118,1979,247,2543,2188,3410,1025,"al","al-507","alabama balance of state coc",45,0,2,1
