"coc.state","coc.number","ec.geocode","ec.name","d.grantee.type","d.esg.coterm","d.esg.bounce","d.grantee.metro","d.grantee.urban","d.grantee.nonec"
"al","al-500","010228","birmingham","metro",1,0,1,0,0
"al","al-500","019073","jefferson county","urban",1,0,0,1,0
"al","al-500","010216","bessemer","metro",0,1,1,0,0
"al","al-500","019117","shelby county","non-ec",0,1,0,0,1
"al","al-500","019115","st clair county","non-ec",0,1,0,0,1
"al","al-501","011542","mobile","metro",1,0,1,0,0
"al","al-501","019097","mobile county","urban",1,0,0,1,0
"al","al-501","019003","baldwin county","non-ec",0,1,0,0,1
"al","al-502","010810","florence","metro",0,1,1,0,0
"al","al-502","019033","colbert county","non-ec",0,1,0,0,1
"al","al-502","019059","franklin county","non-ec",0,1,0,0,1
"al","al-502","019077","lauderdale county","non-ec",0,1,0,0,1
"al","al-502","019079","lawrence county","non-ec",0,1,0,0,1
"al","al-502","019093","marion county","non-ec",0,1,0,0,1
"al","al-502","019133","winston county","non-ec",0,1,0,0,1
"al","al-503","010594","decatur","metro",0,1,1,0,0
"al","al-503","011218","huntsville","metro",0,1,1,0,0
"al","al-503","019083","limestone county","non-ec",0,1,0,0,1
"al","al-503","019089","madison county","non-ec",0,1,0,0,1
"al","al-503","019103","morgan county","non-ec",0,1,0,0,1
"al","al-504","011560","montgomery","metro",1,0,1,0,0
"al","al-504","019001","autauga county","non-ec",0,1,0,0,1
"al","al-504","019011","bullock county","non-ec",0,1,0,0,1
"al","al-504","019051","elmore county","non-ec",0,1,0,0,1
"al","al-504","019085","lowndes county","non-ec",0,1,0,0,1
"al","al-504","019101","montgomery county","non-ec",0,1,0,0,1
"al","al-505","010072","anniston","metro",0,1,1,0,0
"al","al-505","010882","gadsden","metro",0,1,1,0,0
"al","al-505","019015","calhoun county","non-ec",0,1,0,0,1
"al","al-505","019019","cherokee county","non-ec",0,1,0,0,1
"al","al-505","019049","dekalb county","non-ec",0,1,0,0,1
"al","al-505","019055","etowah county","non-ec",0,1,0,0,1
"al","al-506","012268","tuscaloosa","metro",0,1,1,0,0
"al","al-506","019125","tuscaloosa county","non-ec",0,1,0,0,1
"al","al-507","010144","auburn","metro",0,1,1,0,0
"al","al-507","010624","dothan","metro",0,1,1,0,0
"al","al-507","011740","opelika","metro",0,1,1,0,0
"al","al-507","019005","barbour county","non-ec",0,1,0,0,1
"al","al-507","019007","bibb county","non-ec",0,1,0,0,1
"al","al-507","019009","blount county","non-ec",0,1,0,0,1
"al","al-507","019013","butler county","non-ec",0,1,0,0,1
"al","al-507","019017","chambers county","non-ec",0,1,0,0,1
"al","al-507","019021","chilton county","non-ec",0,1,0,0,1
"al","al-507","019023","choctaw county","non-ec",0,1,0,0,1
"al","al-507","019025","clarke county","non-ec",0,1,0,0,1
"al","al-507","019027","clay county","non-ec",0,1,0,0,1
"al","al-507","019029","cleburne county","non-ec",0,1,0,0,1
"al","al-507","019031","coffee county","non-ec",0,1,0,0,1
"al","al-507","019035","conecuh county","non-ec",0,1,0,0,1
"al","al-507","019037","coosa county","non-ec",0,1,0,0,1
"al","al-507","019039","covington county","non-ec",0,1,0,0,1
"al","al-507","019041","crenshaw county","non-ec",0,1,0,0,1
"al","al-507","019043","cullman county","non-ec",0,1,0,0,1
"al","al-507","019045","dale county","non-ec",0,1,0,0,1
"al","al-507","019047","dallas county","non-ec",0,1,0,0,1
"al","al-507","019053","escambia county","non-ec",0,1,0,0,1
"al","al-507","019057","fayette county","non-ec",0,1,0,0,1
"al","al-507","019061","geneva county","non-ec",0,1,0,0,1
"al","al-507","019063","greene county","non-ec",0,1,0,0,1
"al","al-507","019065","hale county","non-ec",0,1,0,0,1
"al","al-507","019067","henry county","non-ec",0,1,0,0,1
"al","al-507","019069","houston county","non-ec",0,1,0,0,1
"al","al-507","019071","jackson county","non-ec",0,1,0,0,1
"al","al-507","019075","lamar county","non-ec",0,1,0,0,1
"al","al-507","019081","lee county","non-ec",0,1,0,0,1
"al","al-507","019087","macon county","non-ec",0,1,0,0,1
"al","al-507","019091","marengo county","non-ec",0,1,0,0,1
"al","al-507","019095","marshall county","non-ec",0,1,0,0,1
"al","al-507","019099","monroe county","non-ec",0,1,0,0,1
"al","al-507","019105","perry county","non-ec",0,1,0,0,1
"al","al-507","019107","pickens county","non-ec",0,1,0,0,1
"al","al-507","019109","pike county","non-ec",0,1,0,0,1
"al","al-507","019111","randolph county","non-ec",0,1,0,0,1
"al","al-507","019119","sumter county","non-ec",0,1,0,0,1
"al","al-507","019121","talladega county","non-ec",0,1,0,0,1
"al","al-507","019123","tallapoosa county","non-ec",0,1,0,0,1
"al","al-507","019127","walker county","non-ec",0,1,0,0,1
"al","al-507","019129","washington county","non-ec",0,1,0,0,1
"al","al-507","019131","wilcox county","non-ec",0,1,0,0,1
"ak","ak-500","020078","anchorage","metro",1,0,1,0,0
"ak","ak-501","029013","aleutians east borough","non-ec",0,1,0,0,1
"ak","ak-501","029016","aleutians west census area","non-ec",0,1,0,0,1
"ak","ak-501","029050","bethel census area","non-ec",0,1,0,0,1
"ak","ak-501","029060","bristol bay borough","non-ec",0,1,0,0,1
"ak","ak-501","029068","denali borough","non-ec",0,1,0,0,1
"ak","ak-501","029070","dillingham census area","non-ec",0,1,0,0,1
"ak","ak-501","029090","fairbanks north star borough","non-ec",0,1,0,0,1
"ak","ak-501","029100","haines borough","non-ec",0,1,0,0,1
"ak","ak-501","029105","hoonah-angoon census area","non-ec",0,1,0,0,1
"ak","ak-501","029110","juneau city and borough","non-ec",0,1,0,0,1
"ak","ak-501","029122","kenai peninsula borough","non-ec",0,1,0,0,1
"ak","ak-501","029130","ketchikan gateway borough","non-ec",0,1,0,0,1
"ak","ak-501","029150","kodiak island borough","non-ec",0,1,0,0,1
"ak","ak-501","029164","lake and peninsula borough","non-ec",0,1,0,0,1
"ak","ak-501","029170","matanuska-susitna borough","non-ec",0,1,0,0,1
"ak","ak-501","029180","nome census area","non-ec",0,1,0,0,1
"ak","ak-501","029185","north slope borough","non-ec",0,1,0,0,1
"ak","ak-501","029188","northwest arctic borough","non-ec",0,1,0,0,1
"ak","ak-501","029195","petersburg borough","non-ec",0,1,0,0,1
"ak","ak-501","029198","prince of wales-hyder census area","non-ec",0,1,0,0,1
"ak","ak-501","029220","sitka city and borough","non-ec",0,1,0,0,1
"ak","ak-501","029230","skagway municipality","non-ec",0,1,0,0,1
"ak","ak-501","029240","southeast fairbanks census area","non-ec",0,1,0,0,1
"ak","ak-501","029261","valdez-cordova census area","non-ec",0,1,0,0,1
